comName,fit1_from,fit1_to,fit2_from,fit2_to,meg1_from,meg1_to,meg2_from,meg2_to
삼성전자,2.5,4.5,3.0,5.0,3.5,5.5,3.5,5.5
현대자동차,3.5,5.5,4.0,6.0,4.5,7.5,4.5,7.5
포스코,2.5,4.5,4.5,7.5,4.5,6.5,4.5,6.5
LG화학,4.5,7.5,4.0,6.0,4.0,6.0,4.5,7.5
한국전력공사,2.5,4.5,3.0,5.0,4.0,6.0,4.5,6.5
삼성물산,2.5,4.5,3.0,5.0,4.0,6.0,3.5,5.5
네이버,4.5,7.5,4.0,6.0,3.5,5.5,4.5,7.5
신한금융지주회사,4.0,7.0,4.0,6.0,4.5,6.5,4.0,6.0
KB금융지주,4.5,6.5,4.5,7.5,4.0,6.0,4.5,7.5
삼성생명보험,4.5,6.5,4.5,6.5,4.0,6.0,4.0,6.0
SK텔레콤,4.0,8.0,2.5,6.5,3.5,5.5,3.5,5.5
SK이노베이션,3.0,5.0,2.5,4.5,4.0,6.0,3.5,5.5
삼성SDI,4.5,7.5,3.5,6.5,4.5,7.5,3.5,5.5
아모레퍼시픽,4.0,6.0,3.5,7.5,3.5,5.5,4.5,6.5
LG전자,2.5,4.5,2.5,4.5,4.5,7.5,3.5,5.5
LG생활건강,2.5,4.5,3.0,5.0,4.0,6.0,4.0,6.0
하나금융지주,2.5,4.5,4.0,7.0,4.0,6.0,4.0,6.0
에쓰-오일,2.5,4.5,4.0,6.0,4.0,6.0,3.5,6.5
삼성에스디에스,2.5,4.5,4.5,6.5,4.0,6.0,4.0,6.0
롯데케미칼,2.5,4.5,3.5,5.5,3.5,5.5,3.5,5.5
삼성화재해상보험,2.5,4.5,2.5,4.5,4.5,6.5,3.5,5.5
기아자동차,2.5,4.5,4.5,6.5,4.5,6.5,4.0,6.0
우리은행,2.5,4.5,3.5,7.5,4.0,6.0,4.0,6.0
엘지디스플레이,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
아모레퍼시픽그룹,2.5,4.5,2.5,4.5,3.5,6.5,4.5,7.5
엔씨소프트,4.0,6.0,4.0,6.0,4.5,6.5,3.5,6.5
고려아연,3.5,7.5,3.0,6.0,4.5,6.5,3.5,7.5
현대중공업,4.5,6.5,4.0,7.0,4.0,6.0,4.5,7.5
중소기업은행,3.0,7.0,4.5,6.5,3.5,5.5,4.5,6.5
삼성전기,2.5,4.5,3.0,5.0,4.5,7.5,3.5,5.5
케이티,2.5,4.5,4.0,6.0,4.0,6.0,4.0,6.0
강원랜드,3.5,7.5,4.0,7.0,4.0,6.0,4.5,6.5
롯데쇼핑,2.5,4.5,3.0,5.0,4.5,7.5,3.5,5.5
한국타이어,2.5,4.5,2.5,4.5,3.5,5.5,4.0,6.0
현대제철,2.5,6.5,3.0,5.0,4.5,6.5,4.5,6.5
미래에셋대우,2.5,4.5,4.5,7.5,3.5,5.5,4.0,6.0
한온시스템,2.5,4.5,4.0,7.0,3.5,5.5,3.5,5.5
한화케미칼,4.5,6.5,2.5,5.5,4.5,6.5,4.5,6.5
이마트,4.0,6.0,4.0,6.0,4.0,6.0,4.0,6.0
한화생명보험,2.5,4.5,4.5,6.5,4.5,6.5,3.5,5.5
한미사이언스,4.0,8.0,4.0,6.0,4.5,6.5,4.5,6.5
LG유플러스,3.5,5.5,3.5,6.5,3.5,5.5,4.0,6.0
현대글로비스,2.5,4.5,4.5,6.5,3.5,5.5,4.0,6.0
효성,4.5,7.5,3.5,5.5,3.5,5.5,4.5,6.5
씨제이,2.5,4.5,4.0,7.0,4.5,7.5,3.5,5.5
동부화재해상보험,3.5,5.5,4.5,7.5,4.0,6.0,3.5,5.5
한미약품,2.5,4.5,3.5,6.5,3.5,5.5,3.5,5.5
CJ제일제당,4.0,6.0,3.5,5.5,4.5,6.5,4.5,6.5
한국항공우주산업,2.5,4.5,3.0,5.0,3.5,5.5,4.5,7.5
현대건설,4.5,6.5,3.0,5.0,4.5,6.5,4.5,6.5
삼성중공업,2.5,4.5,4.5,6.5,4.0,6.0,4.0,6.0
BGF리테일,4.0,6.0,4.5,6.5,3.5,5.5,3.5,5.5
삼성카드,2.5,4.5,3.5,7.5,4.0,6.0,4.5,6.5
KCC,2.5,4.5,4.0,7.0,4.0,6.0,4.0,6.0
한국가스공사,2.5,4.5,4.0,6.0,3.5,5.5,4.5,7.5
엘지이노텍,4.5,7.5,2.5,4.5,3.5,5.5,4.0,6.0
엔에이치투자증권,4.5,7.5,4.5,7.5,3.5,5.5,3.5,5.5
현대해상화재보험,4.5,6.5,2.5,5.5,4.5,6.5,4.5,6.5
한샘,2.5,4.5,3.5,6.5,4.5,7.5,3.5,5.5
한국투자금융지주,3.5,7.5,4.0,7.0,4.5,7.5,4.0,6.0
씨제이대한통운,4.0,8.0,2.5,4.5,4.5,7.5,4.5,6.5
한화,4.0,8.0,3.5,5.5,4.0,6.0,3.5,5.5
팬오션,4.0,7.0,2.5,4.5,4.0,6.0,3.5,6.5
BNK금융지주,2.5,4.5,3.0,5.0,3.5,5.5,3.5,5.5
삼성증권,2.5,4.5,3.5,5.5,3.0,5.0,3.0,5.0
대한항공,2.5,4.5,4.0,6.0,4.0,6.0,4.0,6.0
대우건설,2.5,4.5,4.0,6.0,4.5,7.5,3.5,5.5
대림산업,4.0,6.0,4.5,6.5,3.5,6.5,3.5,5.5
지에스리테일,4.5,6.5,4.5,6.5,3.5,7.5,3.5,6.5
메리츠종합금융증권,4.5,7.5,4.5,6.5,3.5,5.5,3.5,5.5
두산,4.0,6.0,4.5,7.5,4.0,6.0,3.5,5.5
롯데제과,4.5,7.5,4.0,7.0,3.5,5.5,3.5,5.5
